x_m,y_m,w_tr_right_m,w_tr_left_m
-1.76,3.23,0.6325,0.6325
-1.76,3.18,0.6185,0.6185
-1.76,3.13,0.6083,0.6083
-1.71,3.08,0.6519,0.6519
-1.71,3.03,0.65,0.65
-1.71,2.98,0.65,0.65
-1.66,2.93,0.7,0.7
-1.66,2.88,0.7018,0.7018
-1.66,2.83,0.7071,0.7071
-1.61,2.78,0.7649,0.7649
-1.61,2.73,0.7762,0.7762
-1.61,2.68,0.7906,0.7906
-1.61,2.63,0.8078,0.8078
-1.61,2.58,0.8276,0.8276
-1.66,2.53,0.8062,0.8062
-1.66,2.48,0.8322,0.8322
-1.66,2.43,0.8602,0.8602
-1.71,2.38,0.8515,0.8515
-1.76,2.33,0.8485,0.8485
-1.81,2.28,0.8382,0.8382
-1.86,2.23,0.8078,0.8078
-1.91,2.18,0.7826,0.7826
-1.96,2.18,0.8062,0.8062
-2.01,2.13,0.7649,0.7649
-2.06,2.13,0.7762,0.7762
-2.11,2.13,0.7826,0.7826
-2.16,2.13,0.7616,0.7616
-2.21,2.13,0.7433,0.7433
-2.26,2.13,0.728,0.728
-2.31,2.08,0.7649,0.7649
-2.36,2.08,0.7566,0.7566
-2.41,2.08,0.7517,0.7517
-2.46,2.08,0.75,0.75
-2.51,2.08,0.75,0.75
-2.56,2.08,0.75,0.75
-2.61,2.08,0.75,0.75
-2.66,2.08,0.75,0.75
-2.71,2.08,0.75,0.75
-2.76,2.08,0.75,0.75
-2.81,2.08,0.75,0.75
-2.86,2.03,0.75,0.75
-2.91,2.03,0.75,0.75
-2.96,2.03,0.75,0.75
-3.01,2.03,0.75,0.75
-3.06,2.03,0.75,0.75
-3.11,2.03,0.75,0.75
-3.16,2.03,0.75,0.75
-3.21,2.03,0.75,0.75
-3.26,2.03,0.75,0.75
-3.31,2.03,0.75,0.75
-3.36,2.03,0.75,0.75
-3.41,2.03,0.75,0.75
-3.46,2.03,0.75,0.75
-3.51,2.03,0.75,0.75
-3.56,2.03,0.75,0.75
-3.61,2.03,0.75,0.75
-3.66,2.03,0.75,0.75
-3.71,2.03,0.75,0.75
-3.76,2.03,0.75,0.75
-3.81,2.03,0.75,0.75
-3.86,2.03,0.75,0.75
-3.91,2.03,0.75,0.75
-3.96,2.03,0.75,0.75
-4.01,2.03,0.75,0.75
-4.06,2.03,0.75,0.75
-4.11,2.03,0.75,0.75
-4.16,2.08,0.8,0.8
-4.21,2.08,0.8,0.8
-4.26,2.08,0.8,0.8
-4.31,2.08,0.8,0.8
-4.36,2.08,0.8,0.8
-4.41,2.08,0.8,0.8
-4.46,2.08,0.8,0.8
-4.51,2.08,0.8,0.8
-4.56,2.08,0.7906,0.7906
-4.61,2.13,0.8246,0.8246
-4.66,2.13,0.8139,0.8139
-4.71,2.18,0.85,0.85
-4.76,2.23,0.8,0.8
-4.81,2.28,0.75,0.75
-4.81,2.33,0.75,0.75
-4.81,2.38,0.75,0.75
-4.81,2.43,0.75,0.75
-4.86,2.48,0.7,0.7
